WSAW,PO/LOT,Comment,Wafer id,TTV,Warp,Bow,Wav ind,Entry Warp 10mm,Entry Warp 20mm,Entry Warp 30mm,Exit Warp 10mm,Exit Warp 20mm,Exit Warp 30mm,Entry wav,Exit wav
,,,UBIJDAJ1108,11.15,17.51,-4.13,0.97,-1.1,-3.52,-4.85,2.05,-2.93,-4.68,0.57,0.4
WSAWB20,NXC-QC-03B,020*29.1*TM900 * A-514*Wire-03*0073*T227T011*23061001,UHH32AG0120,6.94,8.98,-0.87,0.62,1.42,1.84,1.84,0.51,2.81,3.23,0.33,0.39
2023/6/10 17:44,UHH32AG,,UHH32AG0320,8.48,9.12,-1.82,0.62,0.62,0.86,-1.04,-0.61,1.34,1.46,0.32,0.24
,,,UHH32AG0520,8.88,9.14,-2.25,0.55,-0.83,-1.13,-1.55,1.53,1.53,1.53,0.22,0.32
,,,UHH32AG0720,9.06,9.95,-2.34,0.52,-1.04,-1.49,-2.12,1.33,-1.66,-2.12,0.29,0.24
,,,UHH32AG0920,9.35,9.64,-2.42,0.53,0.6,0.93,-1,2.13,2.13,2.13,0.15,0.23
,,,UHH32AG1108,9.79,13.61,-4.06,0.73,-1.11,1.14,-1.41,3.21,3.21,3.21,0.29,0.73
WSAWB20,NXC-QC-03B,019*30.5*TM900 * A-503*Wire-02*0033*T227T011*23060902,UFAAXAA0120,11.26,8,-0.64,0.85,1.22,1.32,-1.46,0.91,2.72,3.52,0.24,0.55
2023/6/10 02:16,UFAAXAA,,UFAAXAA0320,11.26,8.36,-1.85,0.74,0.71,0.81,0.81,1.19,1.25,1.84,0.18,0.25
,,,UFAAXAA0520,11.32,8.52,-2,0.94,-0.71,-0.8,-0.89,1.51,1.51,1.51,0.2,0.42
,,,UFAAXAA0820,11.72,8.79,-1.6,0.84,0.83,0.83,-1.46,1.22,-1.89,-3.16,0.39,0.55
,,,UFAAXAA1020,11.79,10.54,-2.53,0.81,1.41,1.5,1.5,1.04,-1.14,-2.48,0.23,0.55
,,,UFAAXAA1201,12.72,13.71,-4.32,1.27,2.1,2.92,2.92,4.5,4.5,4.5,0.48,1.27
WSAWB20,GSM-QY-AEK,018*36.8*TM900 *New (P1) -707*Wire-01*0104*T227T001*23060803,UDFHWAB0120,12.56,9.32,0.14,0.56,2.27,2.54,2.54,0.57,1.52,2.17,0.33,0.37
2023/6/9 11:19,UDFHWAB,,UDFHWAB0320,12.9,9.28,0.13,0.79,1.58,2.07,2.07,0.97,-1.32,-1.32,0.38,0.24
