WSAW,PO/LOT,Comment,Wafer id,TTV,Warp,Entry Warp 10mm,Entry Warp 20mm,Entry Warp 30mm,Exit Warp 10mm,Exit Warp 20mm,Exit Warp 30mm,Wav ind,Entry wav,Exit wav,Bow
,,,PAC5XAA0420,7.56,10.47,2.92,4.87,5.23,2.37,4.57,5.3,1.77,1.25,0.72,1.07
,,,PAC5XAA0520,7.71,9.88,2.02,4.82,4.82,1.77,5.15,5.2,1.81,1.38,0.74,0.91
,,,PAC5XAA0720,7.55,9.29,1.07,3.86,3.97,3.78,5.57,6.12,1.53,1.26,0.43,0.14
,,,PAC5XAA0808,7.95,9.05,1.68,3.12,4.03,5.29,7.12,7.94,1.42,1.1,0.56,-0.07
WSAWB20,SMA-QC-88E,049*31*TM860 * A-810*Wire-01*0106*T037T029*22120902,PFG12AA0120,9.82,12.38,1.94,3.23,3.23,1.45,5.37,5.63,2.02,0.52,2.02,-1.2
2022/12/10 08:43,PFG12AA,,PFG12AA0320,8.84,10.77,1.31,3.38,3.38,1.3,3.85,4.44,1.62,0.54,1.62,0.37
,,,PFG12AA0520,9.05,12.19,1.9,3.27,3.46,1.24,4.04,4.3,1.56,0.61,1.56,0.16
,,,PFG12AA0820,8.61,10.81,-1.31,2.48,2.48,2.12,3.81,4.35,1.58,0.44,1.58,-0.24
,,,PFG12AA1020,8.57,11.13,-1.07,2.47,2.47,2.49,4.53,4.53,1.47,0.37,1.47,-0.45
,,,PFG12AA1201,8.62,11.4,-1.86,2.05,2.05,6.32,7.69,7.96,1.38,0.33,1.38,-1.73
WSAWB20,INL-QX-BFB,048*32.7*TM860 * A-800*Wire-03*0048*T203T204*22120901,PFB31AI0120,9.41,7.44,1.04,1.04,1.04,-3.04,-3.04,4.42,0.98,0.47,0.96,-2.26
2022/12/9 16:56,PFB31AI,,PFB31AI0320,9.87,9.03,-1.05,-1.39,-1.39,-1.47,1.9,3.9,0.69,0.27,0.64,-2.67
,,,PFB31AI0520,10.62,8.65,-0.83,-0.83,1.3,1.17,1.17,2.46,0.49,0.21,0.33,-2.38
,,,PFB31AI0820,10.68,9.2,1.38,1.38,1.79,0.96,1.22,1.55,0.61,0.16,0.38,-2.98
,,,PFB31AI1020,10.53,8.06,1.63,1.99,2.98,1.51,1.51,-1.7,0.53,0.24,0.3,-2.92
,,,PFB31AI1220,11.61,9.99,1.52,1.73,3.31,4.74,5.65,5.65,0.67,0.45,0.69,-3.54
WSAWB20,GIE-QC-A5E,047*29*TM860 *New (P1) -259*Wire-02*0016*T203T204*22120802,PAGGEAG0120,10.52,7.23,1.86,4.23,4.6,-2.74,-2.74,2.85,0.43,0.31,0.43,0.05
