A1_TTV,B1_TTV,C1_TTV,A2_TTV,B2_TTV,C2_TTV,A1_WARP,B1_WARP,C1_WARP,A2_WARP,B2_WARP,C2_WARP,A1_BOW,B1_BOW,C1_BOW,A2_BOW,B2_BOW,C2_BOW,A1_WAVI,B1_WAVI,C1_WAVI,A2_WAVI,B2_WAVI,C2_WAVI
10.11,,12.52,7.44,8.83,,6.75,,8.86,9.56,5.94,,-0.65,,-0.23,-0.87,0.15,,0.57,,0.73,0.99,0.29,
9.44,,11.2,7.42,8.37,,6.09,,7.59,9.34,8.02,,-0.26,,-0.8,-1.82,-0.2,,0.57,,1.18,0.89,0.5,
9.36,,12.35,10.89,8.04,,7.14,,8.43,8.73,8.8,,-0.83,,-1.01,-2.25,-0.21,,0.47,,0.63,1.19,0.73,
9.22,,9.24,12.69,9.7,,7.47,,12.35,12.1,7.99,,1.18,,-0.92,-2.34,0.35,,0.53,,0.53,1.25,1.05,
8.55,,9.1,11.97,9.73,,8.06,,11.61,10.87,7.31,,0.97,,0.19,-2.42,-0.05,,0.53,,0.51,0.66,0.39,
8.76,,9.25,12.01,8.85,,6.29,,10.53,9.95,6.21,,0.67,,-0.32,-0.64,0.29,,1.22,,0.45,0.67,0.37,
8.56,,8.89,13.72,8.56,,7.46,,10.51,9.37,7.24,,0.71,,-0.27,-1.85,0.88,,0.82,,0.64,0.73,0.49,
9.09,,8.85,13.39,8.28,,6.89,,11.14,9.94,6.75,,0.16,,-0.42,-2,0.94,,0.8,,0.81,0.84,0.41,
9.56,,9.38,9.21,8.61,,8.36,,12.43,9.86,8.79,,-0.29,,-0.74,-1.6,0.17,,0.74,,0.8,1.02,0.84,
9.63,,7.61,9.13,9.14,,6.4,,13.03,9.32,8.63,,0.22,,-0.89,-2.53,-0.76,,0.7,,0.58,1.2,1.26,
8.97,,7.4,10.5,9,,7.82,,11.63,9.6,8.28,,-0.35,,0.32,0.14,-1.37,,0.96,,0.58,0.62,0.63,
9.1,,7.25,10.25,8.83,,6.53,,11.35,7.11,6.93,,-0.93,,-0.58,0.13,-0.72,,1.2,,0.69,0.7,0.73,
9.46,,7.59,11.96,8.52,,7.56,,9.99,6.29,6.67,,-0.8,,-0.58,-0.72,-0.41,,0.82,,0.84,1.06,0.68,
10.91,,7.81,11.31,8.3,,6.05,,9.17,7.36,6.18,,-1.16,,-0.69,-0.91,-0.2,,0.61,,0.82,1.17,0.57,
10.68,,8.14,8.57,7.53,,6.79,,8.57,6.57,7.03,,-1.56,,-1.08,-1.12,-0.85,,0.57,,0.85,0.95,0.6,
